Job (Long),AD,Email,ShoreTel,Cell,Fax,Desktop,Laptop,List of Members
AP Data Entry Clerk-Temp,x,x,x, , ,"[""apconfidentialReader"", ""GoogleApps"", ""Store-Accounting Private AP Confidential Vendor Forms RW"", ""Concur Users"", ""Store-Accounting"", ""capitalprojectsReader"", ""Accounts Payable UK"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Store-Accounting Scanning"", ""Accounting"", ""apEditor"", ""arReader"", ""Staff-Petaluma"", ""apAdmin"", ""Store-Manufacturing Docs Corp Financial Reports"", ""Store-Projects-Genesis""]"
AP Specialist - Temp,x,x,x, , ,[]
APPS DBA,x,x,x,x, ,"[""Global Protect VPN User"", ""FS_ITInfrastructureTeam_Notify"", ""PMP"", ""GoogleApps"", ""SQLDBAs"", ""Oracle DBA"", ""PasswordStateUsers"", ""GADS"", ""Quintiq-Production Scheduler"", ""NetOps-RO"", ""manufacturingReader"", ""Enterprise Applications Team"", ""IT Consultants"", ""Store-Projects-Genesis"", ""Oracle Team"", ""Store-Training EBS"", ""Information Technology Department"", ""EBS-Notify"", ""Store-Projects Oracle Upgrade"", ""IT Administrators"", ""IT"", ""IT SysAdmins"", ""ManufacturingBasic"", ""Store-Information Services"", ""Information-Services-Dept-Group"", ""IS Developers""]"
AR Specialist - Temp,x,x,x, , ,"[""GoogleAppsEA"", ""GoogleApps""]"
AR Specialist-Temp,x,x,x, , ,"[""apconfidentialEditor"", ""Smartsheet_Licensed"", ""GoogleApps"", ""Store-Accounting"", ""Store-Accounting Private Accounts Receivables"", ""Accounting"", ""arEditor"", ""arReader"", ""Staff-Petaluma""]"
AX Forms Personalization Account,x, , , , ,"[""Fullscope Dynamics Consultants"", ""DAX-Fullscope Consulting Team""]"
Account Manager,x,x, ,x, ,"[""Concur Business Meals"", ""Goals Training Sessions"", ""GoogleApps"", ""Concur Users"", ""CostCo Orders"", ""Store-Projects Price Lists RO"", ""TurnLink User Group"", ""Store-Outside Sales"", ""Store-Sales Mailing List Database RW"", ""Store-Accounting MCB Approvals RW"", ""Outside Sales"", ""Staff-Remote"", ""Sales-Region Managers"", ""salesdocsEditor""]"
Account for HR EDI Email Transactions,x,x, , , ,"[""GoogleAppsEA""]"
Account for Smartsheet Admin,x,x, , , ,[]
"Account, Senior",x,x,x, , ,"[""GoogleAppsEA"", ""Dynamics Prod Users"", ""Goals Training Sessions"", ""DAX EAM PA Functional Team"", ""DAX EAM PA Global Team"", ""Store-Accounting AC Analysis Month End Payroll Related Recons RW"", ""Dynamics Team"", ""Store-Accounting"", ""capitalprojectsReader"", ""Store-Payroll Private Inc"", ""Store-Payroll Private UK"", ""Store-Projects-Genesis"", ""AuthorizedCheckPrinters"", ""Store-Payroll"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Oracle Team"", ""Accounting"", ""Store-Training EBS"", ""Managerial staff"", ""apameAdmin"", ""Store-Accounting Image Onsite"", ""Store-Accounting Payroll Files"", ""Store-Accounting Payroll Processing"", ""Store-Database Punch Detail RW"", ""Store-Accounting AC Analysis"", ""Store-Projects-erp"", ""Store-Accounting Financials"", ""Staff-Remote"", ""Staff-Petaluma"", ""arAdmin"", ""engineeringReader"", ""Broker Commissions"", ""Store-Accounting Bank EFT-Wells Fargo-Approved Read Only"", ""Store-Bank Reconciliations"", ""Store-Database Financials"", ""contractsEditor"", ""apAdmin"", ""Store-ACCPACC"", ""Global Protect VPN User"", ""GoogleApps"", ""apReader"", ""Store-Accounting Private Payroll UK""]"
Accounts Payable Efax and shared mailbox,x,x, , , ,"[""Claims Processing-EU"", ""ClaimsProcessing-UK""]"
Accounts Payable Lead,x,x,x, , ,"[""apconfidentialEditor"", ""apconfidentialReader"", ""GoogleAppsEA"", ""Store-Accounting Private AP Confidential Vendor Forms RW"", ""Store-Manufacturing Docs Corp Financial Reports"", ""Concur Users"", ""Store-Accounting"", ""capitalprojectsReader"", ""Accounts Payable UK"", ""Store-Projects-Genesis"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Store-Accounting Scanning"", ""Accounting"", ""apReader"", ""arReader"", ""Staff-Petaluma"", ""engineeringReader"", ""engineeringEditor"", ""apAdmin""]"
Accounts Payable Specialist,x,x,x, , ,"[""apconfidentialReader"", ""GoogleApps"", ""Store-Accounting Private AP Confidential Vendor Forms RW"", ""Concur Users"", ""Store-Accounting"", ""capitalprojectsReader"", ""Accounts Payable UK"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Store-Accounting Scanning"", ""Accounting"", ""apEditor"", ""arReader"", ""Staff-Petaluma"", ""GoogleAppsEA"", ""Fun Committee"", ""Store-Manufacturing Docs Corp Financial Reports"", ""Store-Projects-Genesis"", ""Store-Training EBS"", ""apReader""]"
Accounts Payable Temp,x,x,x, , ,"[""GoogleApps"", ""Store-Accounting Private AP Confidential Vendor Forms RW"", ""Store-Manufacturing Docs Corp Financial Reports"", ""Concur Users"", ""Store-Accounting"", ""capitalprojectsReader"", ""Accounts Payable UK"", ""Store-Projects-Genesis"", ""Store-Accounting Bank EFT-Wells Fargo R-W"", ""Store-Accounting Scanning"", ""Accounting"", ""apReader"", ""arReader"", ""Staff-Petaluma"", ""engineeringReader"", ""engineeringEditor"", ""apAdmin""]"
Accounts Receivable Lead,x,x,x, , ,"[""Global Protect VPN User"", ""Smartsheet_Licensed"", ""GoogleAppsEA"", ""New Customer Setups"", ""AFS Log Notification"", ""Store-Accounting"", ""Trade Management Team"", ""Accounts Receivable UK"", ""Store-Projects Accounts Receivable UK"", ""Store-Accounting Private Accounts Receivables"", ""Store-Projects Price Lists RO"", ""Oracle Team"", ""Store-Accounting Scanning"", ""Store-Projects MadelainesBackup"", ""Accounting"", ""EDI Team"", ""apebsukReader"", ""arEditor"", ""Staff-Petaluma""]"
Accounts Receivable Specialist,x,x,x, , ,"[""GoogleAppsEA"", ""Smartsheet_Unlicensed"", ""Store-Accounting"", ""Store-Projects Accounts Receivable UK"", ""Store-Accounting Private Accounts Receivables"", ""Store-Projects Price Lists RO"", ""Oracle Team"", ""Store-Accounting Scanning"", ""Store-Projects MadelainesBackup"", ""Accounting"", ""arEditor"", ""arReader"", ""Staff-Petaluma"", ""Accounts Payable UK"", ""Store-Safety"", ""General Mailbox"", ""Store-Office Admin"", ""Safety Committee-Petaluma"", ""apEditor"", ""Store-Accounting Deposit""]"
Accounts Receivable Specialist-Temp,x,x, , , ,[]
Accounts Receivable Temp,x,x,x, , ,[]
Accouting Supervisor,x, , , , ,[]
Additional Chairs for NPT Meeting Rooms,x,x, , , ,[]
